date,date_dt,yy,mm,method,gross_ret,sdf_ret,turnover_raw,turnover,cost,net_ret
20030331,2004-03-31,2004,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.002265576492123995,0.04498909162999774,0.0,0.0,0.0,0.002265576492123995
20030430,2004-04-30,2004,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.004418001760383418,-0.08773126253311364,0.0,0.0,0.0,-0.004418001760383418
20030530,2004-05-31,2004,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.015752890559792995,0.3128158503125331,0.0,0.0,0.0,0.015752890559792995
20030630,2004-06-30,2004,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.027582840561555896,0.5477312047301823,0.0,0.0,0.0,0.027582840561555896
20030731,2004-07-31,2004,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.010665604382032061,0.21179415239372273,0.0,0.0,0.0,0.010665604382032061
20030829,2004-08-31,2004,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.00028602977801675316,-0.005679887629854195,0.0,0.0,0.0,-0.00028602977801675316
20030930,2004-09-30,2004,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.005458399350331417,-0.10839114431972136,0.0,0.0,0.0,-0.005458399350331417
20031031,2004-10-31,2004,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0001312176163774199,0.0026056773572623523,0.0,0.0,0.0,0.0001312176163774199
20031128,2004-11-30,2004,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.005688524751486079,0.11296090075695873,0.0,0.0,0.0,0.005688524751486079
20031231,2004-12-31,2004,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.012516270127206812,0.24854407943242912,0.0,0.0,0.0,0.012516270127206812
20040130,2005-01-31,2005,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01742082879577387,0.3459372330566529,0.0,0.0,0.0,0.01742082879577387
20040227,2005-02-28,2005,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.006426637894644517,0.12761811491251723,0.0,0.0,0.0,0.006426637894644517
20040331,2005-03-31,2005,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01748328074698534,0.3471773838815281,0.0,0.0,0.0,0.01748328074698534
20040430,2005-04-30,2005,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.013747143178485797,0.27298636186314484,0.0,0.0,0.0,0.013747143178485797
20040528,2005-05-31,2005,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.00706276880784379,0.14025019864135474,0.0,0.0,0.0,0.00706276880784379
20040630,2005-06-30,2005,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01781896636983872,0.35384332135833585,0.0,0.0,0.0,0.01781896636983872
20040730,2005-07-31,2005,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.010844549218668367,0.21534758158939665,0.0,0.0,0.0,0.010844549218668367
20040831,2005-08-31,2005,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.008869830846217966,0.17613425724989404,0.0,0.0,0.0,0.008869830846217966
