date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19961031,1997-10-31,1997,10,AP-tree + RM rolling TC-aware + stock-level TC,0.0013025695243074004,4.247722757300815e-11,0.17945383569201653,0.00044863458923004133,0.0008539349350773591,1.9136006425477117,1.8687717718183865,-0.036327378987557446
19961129,1997-11-30,1997,11,AP-tree + RM rolling TC-aware + stock-level TC,0.04404261599404643,4.3179400376416877e-11,0.1957986959627734,0.0004894967399069335,0.043553119254139495,1.9978806208134008,1.950162611655162,0.0
19961231,1997-12-31,1997,12,AP-tree + RM rolling TC-aware + stock-level TC,-0.003565226770000915,4.248663996574836e-11,0.18048586141607925,0.00045121465354019816,-0.004016441423541113,1.9907577233408107,1.9423298977590693,-0.004016441423541073
19970131,1998-01-31,1998,1,AP-tree + RM rolling TC-aware + stock-level TC,0.05965325900477579,4.19969909543072e-11,0.1913767663036828,0.00047844191575920704,0.05917481708901658,2.1095129094270177,2.0572669141854902,0.0
19970228,1998-02-28,1998,2,AP-tree + RM rolling TC-aware + stock-level TC,-0.0054013548643137375,4.3455213711261764e-11,0.21478297892348872,0.0005369574473087218,-0.005938312311622459,2.0981186816123514,2.045050220740689,-0.005938312311622451
19970331,1998-03-31,1998,3,AP-tree + RM rolling TC-aware + stock-level TC,-0.04196863560319618,4.237443143768893e-11,0.19859502668608306,0.0004964875667152076,-0.042465123169911384,2.010063503211504,1.9582069112282814,-0.04815126431779926
19970430,1998-04-30,1998,4,AP-tree + RM rolling TC-aware + stock-level TC,0.008248211100102688,4.204853078140086e-11,0.20452188629361004,0.0005113047157340251,0.007736906384368664,2.026642931310605,1.9733573747816782,-0.04078689975774652
19970530,1998-05-31,1998,5,AP-tree + RM rolling TC-aware + stock-level TC,0.07418065854973396,4.2131874486601995e-11,0.20079625293365347,0.0005019906323341336,0.07367866791739983,2.176980638600389,2.1187517174805692,0.0
19970630,1998-06-30,1998,6,AP-tree + RM rolling TC-aware + stock-level TC,0.04485333041495235,4.286022329148126e-11,0.19816355604018202,0.0004954088901004551,0.04435792152485189,2.274625470490486,2.2127351398952175,0.0
19970731,1998-07-31,1998,7,AP-tree + RM rolling TC-aware + stock-level TC,0.07531163417938704,4.31292112483897e-11,0.36277625176441397,0.000906940629411035,0.074404693549976,2.445931231819182,2.3773730198863845,0.0
19970829,1998-08-31,1998,8,AP-tree + RM rolling TC-aware + stock-level TC,0.006413850945427563,4.222089550805913e-11,0.21854419915113074,0.0005463604978778268,0.005867490447549736,2.4616190701628358,2.3913222333708304,0.0
19970930,1998-09-30,1998,9,AP-tree + RM rolling TC-aware + stock-level TC,0.07859031687860729,4.2042173887223144e-11,0.23261372301945882,0.000581534307548647,0.07800878257105864,2.655078492921356,2.577866369531194,0.0
19971031,1998-10-31,1998,10,AP-tree + RM rolling TC-aware + stock-level TC,-0.027553831237424716,4.281875960569781e-11,0.19181238647459026,0.00047953096618647565,-0.028033362203611193,2.581920908205285,2.5056001078816177,-0.02803336220361119
19971128,1998-11-30,1998,11,AP-tree + RM rolling TC-aware + stock-level TC,0.0021009316648849205,3.261732312194454e-11,0.20076794680336815,0.0005019198670084204,0.0015990117978765001,2.5873453475975623,2.5096065920148813,-0.026479176082632283
19971231,1998-12-31,1998,12,AP-tree + RM rolling TC-aware + stock-level TC,-0.0027775950399288713,3.3162835758743237e-11,0.177124108095463,0.0004428102702386575,-0.0032204053101675288,2.580158749993492,2.5015246416195254,-0.02961430771353435
