date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret,wealth_gross,wealth_net,drawdown_net
20110228,2012-02-29,2012,2,AP-Trees static + stock-level TC (lagged trade),0.04865335973990242,0.0,0.3000840811058789,0.0,0.3000840811058789,0.0007502102027646974,0.04790314953713772,26.743849447569207,22.235279515584455,0.0
20110331,2012-03-31,2012,3,AP-Trees static + stock-level TC (lagged trade),0.002476531254063239,0.0,0.2532023543344571,0.0,0.2532023543344571,0.0006330058858361428,0.001843525368227096,26.810081426580076,22.27627081744106,0.0
20110429,2012-04-30,2012,4,AP-Trees static + stock-level TC (lagged trade),-0.018224283682502913,0.0,0.2634443210062565,0.0,0.2634443210062565,0.0006586108025156412,-0.018882894485018554,26.32148689711108,21.85563034607562,-0.018882894485018564
20110531,2012-05-31,2012,5,AP-Trees static + stock-level TC (lagged trade),-0.026504978517855222,0.0,0.26570630053299027,0.0,0.26570630053299027,0.0006642657513324757,-0.0271692442691877,25.62383645234514,21.261829386546022,-0.045539104781433415
20110630,2012-06-30,2012,6,AP-Trees static + stock-level TC (lagged trade),-0.034139807609320984,0.0,0.21804336087109,0.0,0.21804336087109,0.000545108402177725,-0.03468491601149871,24.749043605649373,20.524364620022858,-0.07864450076834928
20110729,2012-07-31,2012,7,AP-Trees static + stock-level TC (lagged trade),-0.01196737100905634,0.0,0.25611103683506653,0.0,0.25611103683506653,0.0006402775920876663,-0.012607648601144007,24.452862618701253,20.265600643131858,-0.09026062713939353
20110831,2012-08-31,2012,8,AP-Trees static + stock-level TC (lagged trade),-0.08892449079855869,0.0,0.26536302264530903,0.0,0.26536302264530903,0.0006634075566132726,-0.08958789835517196,22.278404261766134,18.450048072608453,-0.17176226560492747
20110930,2012-09-30,2012,9,AP-Trees static + stock-level TC (lagged trade),-0.10347247870320637,0.0,0.21279398275599604,0.0,0.21279398275599604,0.0005319849568899901,-0.10400446366009636,19.973202551249116,16.531160718313817,-0.2579026869537403
20111031,2012-10-31,2012,10,AP-Trees static + stock-level TC (lagged trade),0.05388207084411351,0.0,0.2636198066927886,0.0,0.2636198066927886,0.0006590495167319715,0.05322302132738154,21.04940006609935,17.410999037791004,-0.21840602583448676
20111130,2012-11-30,2012,11,AP-Trees static + stock-level TC (lagged trade),-0.043907239000570954,0.0,0.2678827544186741,0.0,0.2678827544186741,0.0006697068860466853,-0.04457694588661764,20.12517902657849,16.634869875851443,-0.2532470981261692
