Date,Mkt-RF,LME,BEME,OP,Investment,r12_2,ST_REV,LT_REV,AC,IdioVol,Lturnover,rf
197407,-0.0805,-0.007724303,-0.042969041,0.033196697,0.030708356,-0.020574379,0.020832606,0.005204368,0.011119684,-0.02139218,0.002384184,0.007
197408,-0.0935,-0.00556811,-0.018918588,-0.006234302,0.030802197,-0.035043312,0.016988864,0.011998292,0.001691101,0.033376602,0.022646212,0.006
197409,-0.1177,0.004321453,-0.046848658,0.032144346,0.048191188,-0.043607611,0.025259626,0.010167663,0.007284191,0.031344788,0.041477115,0.0081
197410,0.161,-0.043733283,0.08691607,0.013739342,-0.009552211,0.004176678,0.094943825,-0.04332075,0.000122821,-0.022277657,-0.062067795,0.0051
197411,-0.0451,-0.023771053,0.00223959,0.008997513,0.024374334,-0.039788054,0.014677514,-0.010951039,0.001454402,0.029755674,-0.017113424,0.0054
197412,-0.0345,-0.077448383,-0.004290003,0.000356385,0.027765412,-0.043281282,-0.004940104,-0.037678085,0.021086309,0.052924353,0.024059694,0.007
197501,0.1366,0.167867666,-0.067347773,0.033526206,-0.01822227,0.178385769,0.189094725,0.168976558,-0.009802606,-0.166878362,-0.064200788,0.0058
197502,0.0556,-0.000583437,0.037201411,-0.023089801,-0.008806324,-0.014886363,0.074087497,0.002731355,0.008714523,0.01833707,-0.014091568,0.0043
197503,0.0266,0.075669433,-0.00661215,-0.013829567,-0.015381945,0.043158548,0.054121141,0.070957759,0.004126179,-0.075479312,-0.043583105,0.0041
197504,0.0423,-0.013603607,0.014965445,-0.001798453,-0.006163327,-0.00715205,0.008427354,-0.013938851,-0.013485756,-0.006978812,-0.039062071,0.0044
197505,0.0519,0.03554489,0.029386359,-0.003667757,-0.001161432,0.012817572,0.020920276,0.017705279,7.51E-05,-0.022609034,-0.01075603,0.0044
197506,0.0483,0.03299145,-0.004329088,0.01546824,0.002220778,-0.00230872,0.035175254,0.022367783,-0.002580637,-0.012463337,-0.013585168,0.0041
197507,-0.0659,0.054098404,-0.017814824,-0.012653358,0.012441361,-0.012982406,0.025527329,0.009867734,0.012880065,0.015794196,0.034853038,0.0048
197508,-0.0285,-0.037801176,0.007640946,-0.008484981,-0.010405044,-0.009081935,0.007349842,-0.024364407,0.009460845,0.039486691,0.014147442,0.0048
197509,-0.0426,0.000198902,-0.001113973,-0.01427444,0.003936137,-0.01068654,-0.0102271,-0.016324727,0.003857382,0.024577124,0.020054928,0.0053
197510,0.0531,-0.049916222,0.002129729,-0.003572301,0.020985328,0.003879473,0.006890353,0.000767438,-0.026344881,0.015108246,-0.008516898,0.0056
197511,0.0265,-0.021888632,-0.022450636,0.001836938,0.020097178,-0.002596452,-0.016627477,0.020989029,0.000952169,0.01982971,-0.000133319,0.0041
197512,-0.016,-0.005539496,-0.015246869,-0.001746494,-0.00166504,0.001788922,0.042774562,-0.011949665,0.008201404,-0.013732412,-0.014481694,0.0048
197601,0.1216,0.066040801,-0.088378276,0.018145235,0.039350632,-0.04699011,0.050699232,0.102924779,-0.006622116,-0.068393052,-0.038681006,0.0047
197602,0.0032,0.095030049,-0.066527782,0.026976728,0.044597196,0.000235448,-0.021436132,0.071817515,0.000490864,-0.07712607,-0.00317015,0.0034
197603,0.0233,-0.011020073,0.011063892,0.016764401,0.005228332,-0.011982056,0.054712903,-0.0008181,-0.001178902,0.024496652,-0.003089271,0.004
197604,-0.0149,-0.000676953,0.008187991,-0.000802458,-0.010219268,0.00251682,0.019891674,-0.020978907,0.005017893,0.02705689,0.018173596,0.0042
197605,-0.0134,-0.018041181,0.013670081,-0.019820079,-0.022394966,0.015529973,-0.008964886,-0.032914535,0.006531836,0.027125184,0.005440438,0.0037
197606,0.0405,-0.02722464,0.001169283,-0.000941209,0.005039003,0.001391122,0.007165226,0.021935296,-0.000859454,0.003169989,-0.030364774,0.0043
197607,-0.0107,-0.000668933,-0.012473112,0.004501684,0.001405844,-0.000148331,0.017235529,0.003209329,-0.002963632,0.025659332,0.025057235,0.0047
197608,-0.0056,-0.024120367,-0.005536492,-0.014686034,-0.011298325,-0.001527936,-0.013891991,-0.001476343,0.000203102,0.036827726,0.030256398,0.0042
197609,0.0206,-0.009324381,0.000150949,-0.013930174,-0.005039124,-0.01773162,0.00230807,-0.011631355,0.001129306,0.003695584,-0.003777768,0.0044
197610,-0.0242,-6.62E-05,0.008329898,0.000221025,-0.012452516,-0.002764338,0.006482276,-0.009688966,0.001263454,0.011603015,0.010109451,0.0041
197611,0.0036,0.013335218,-0.010357494,-0.003252837,0.001501221,-0.021250977,0.004693071,0.014927075,0.005503636,-0.011169674,-0.02075046,0.004
197612,0.0565,0.043238732,-0.011864173,0.011711758,0.013342523,-0.00660075,0.030985819,0.029976796,-0.019506563,-0.039823329,-0.007967942,0.004
197701,-0.0405,0.06987819,-0.039499399,0.006507595,0.030148838,-0.037149818,0.010713037,0.013441122,0.003421618,-0.022453863,0.008056373,0.0036
197702,-0.0195,0.010638849,-0.010187652,0.002003026,-0.001029931,-0.010853465,0.013141773,-0.015616288,-0.009777791,0.002173969,0.012392299,0.0035
197703,-0.0137,0.01691284,-0.014436892,-0.005519604,0.003277624,-0.012685368,0.006202638,-0.000135885,-0.011220995,-0.002149207,0.000709888,0.0038
197704,0.0015,-0.001263171,-0.031279328,0.016321416,0.019551184,-0.03878181,-0.004579217,0.004820796,0.009897289,0.003688597,-0.008149301,0.0038
197705,-0.0146,0.011661199,-0.014919109,0.00075617,0.004698371,-0.023272352,-0.000681676,0.006276751,-0.00097987,0.004126243,0.009239901,0.0037
197706,0.0471,1.35E-02,7.79E-05,-0.013730066,-0.005537473,-0.014451684,0.002538757,0.021079096,0.006829854,-0.033305535,-0.029930251,0.004
197707,-0.0169,0.033670201,0.004642598,0.00057248,-0.006168649,-0.007227787,0.006081212,0.012485077,0.002563787,0.008445205,0.028165856,0.0042
197708,-0.0175,0.01617912,0.020215683,-0.006954502,-0.009423923,0.004455531,-0.00286577,0.02522287,-0.002362647,0.000367416,-0.001907653,0.0044
197709,-0.0027,0.010144921,-0.003943954,-0.010525633,-0.006944876,-0.024173332,0.005091894,0.004392293,0.005211376,-0.000629284,0.005017601,0.0043
197710,-0.0438,0.010917623,-0.012911999,-0.004578922,0.005207196,0.002123499,0.018910265,-0.013775273,-0.001063895,0.023080972,0.009486056,0.0049
197711,0.04,0.040148615,-0.006652273,0.002569803,0.00098745,-0.018292656,0.02346649,0.02814468,-0.007943389,-0.040272005,-0.035925464,0.005
197712,0.0027,0.016547105,-0.002286966,-0.014328395,-0.006987103,-0.008721441,0.00328919,-0.01751141,0.000136189,-0.003877234,-0.002779835,0.0049
197801,-0.0601,0.041060146,-0.021885223,0.00842005,0.01498072,-0.002741031,0.019152419,0.013333563,0.006909086,-0.019225611,0.001911506,0.0049
197802,-0.0138,0.04511397,-0.006104924,-0.009976385,0.003567613,-0.026280242,0.004477861,-0.00598364,0.006465454,-0.017279925,0.00752949,0.0046
197803,0.0285,0.042175609,-0.015087916,0.012058336,0.013777502,-0.020211938,-0.011003416,0.021307473,0.010871616,-0.034747179,-0.021849943,0.0053
197804,0.0788,0.011378645,0.024901307,-0.004271232,-0.012336313,0.013532893,0.014883366,0.021884819,0.005585894,-0.000919556,-0.03450014,0.0054
197805,0.0176,0.057677303,-0.000583149,-0.003840157,0.003175916,-0.024668806,0.010804415,0.009946844,0.003306166,-0.049673419,-0.035128913,0.0051
