date_dt,yy,mm,candidate,weight
2014-10-31,2014,10,port_V23,0.031250016879070634
2014-10-31,2014,10,port_V24,0.031249999813636426
2014-10-31,2014,10,port_V25,0.03125002909978274
2014-10-31,2014,10,port_V26,0.03125002908979286
2014-10-31,2014,10,port_V27,0.03125003422802358
2014-10-31,2014,10,port_V28,0.03125001023827428
2014-10-31,2014,10,port_V29,0.031250034080477794
2014-10-31,2014,10,port_V30,0.03125004273604302
2014-10-31,2014,10,port_V31,0.03125003810212553
2014-10-31,2014,10,port_V32,0.031250012281027875
2014-11-30,2014,11,port_V1,0.031249942584239836
2014-11-30,2014,11,port_V2,0.031249992559355642
2014-11-30,2014,11,port_V3,0.031250000155694395
2014-11-30,2014,11,port_V4,0.03124995517580689
2014-11-30,2014,11,port_V5,0.031249982744792525
2014-11-30,2014,11,port_V6,0.031249995830773702
2014-11-30,2014,11,port_V7,0.031249992119419125
2014-11-30,2014,11,port_V8,0.031249962278599237
2014-11-30,2014,11,port_V9,0.03124999152449355
2014-11-30,2014,11,port_V10,0.03125000261175682
2014-11-30,2014,11,port_V11,0.031249994121325567
2014-11-30,2014,11,port_V12,0.031249970847447885
2014-11-30,2014,11,port_V13,0.031249969072548397
2014-11-30,2014,11,port_V14,0.03124999591486455
2014-11-30,2014,11,port_V15,0.031249986965238372
2014-11-30,2014,11,port_V16,0.031249966768899694
2014-11-30,2014,11,port_V17,0.031249978380276225
2014-11-30,2014,11,port_V18,0.0312500162126239
2014-11-30,2014,11,port_V19,0.03125002228675798
2014-11-30,2014,11,port_V20,0.03124999550216235
2014-11-30,2014,11,port_V21,0.03125000949974413
2014-11-30,2014,11,port_V22,0.03125003027667341
2014-11-30,2014,11,port_V23,0.031250016879340134
2014-11-30,2014,11,port_V24,0.03124999981494085
2014-11-30,2014,11,port_V25,0.031250029100970585
2014-11-30,2014,11,port_V26,0.031250029091302214
2014-11-30,2014,11,port_V27,0.03125003423014082
2014-11-30,2014,11,port_V28,0.03125001023964762
2014-11-30,2014,11,port_V29,0.03125003408240696
2014-11-30,2014,11,port_V30,0.03125004273961534
2014-11-30,2014,11,port_V31,0.03125003810536164
2014-11-30,2014,11,port_V32,0.0312500122827796
2014-12-31,2014,12,port_V1,0.031249942581770364
2014-12-31,2014,12,port_V2,0.031249992559315914
2014-12-31,2014,12,port_V3,0.031250000156071524
2014-12-31,2014,12,port_V4,0.031249955174833078
2014-12-31,2014,12,port_V5,0.031249982743357895
2014-12-31,2014,12,port_V6,0.031249995830703252
2014-12-31,2014,12,port_V7,0.031249992119755793
2014-12-31,2014,12,port_V8,0.031249962277283803
2014-12-31,2014,12,port_V9,0.031249991522466585
2014-12-31,2014,12,port_V10,0.03125000261106706
2014-12-31,2014,12,port_V11,0.031249994121439348
2014-12-31,2014,12,port_V12,0.03124997084661314
2014-12-31,2014,12,port_V13,0.03124996906977492
2014-12-31,2014,12,port_V14,0.031249995913642574
2014-12-31,2014,12,port_V15,0.031249986964574785
2014-12-31,2014,12,port_V16,0.03124996676620945
2014-12-31,2014,12,port_V17,0.03124997837917816
2014-12-31,2014,12,port_V18,0.03125001621322935
2014-12-31,2014,12,port_V19,0.031250022285414875
2014-12-31,2014,12,port_V20,0.031249995501654287
2014-12-31,2014,12,port_V21,0.03125000949919697
2014-12-31,2014,12,port_V22,0.031250030277563325
2014-12-31,2014,12,port_V23,0.03125001687962891
2014-12-31,2014,12,port_V24,0.03124999981624587
2014-12-31,2014,12,port_V25,0.031250029102170104
2014-12-31,2014,12,port_V26,0.03125002909281854
2014-12-31,2014,12,port_V27,0.031250034232296775
2014-12-31,2014,12,port_V28,0.031250010241029316
2014-12-31,2014,12,port_V29,0.03125003408434005
2014-12-31,2014,12,port_V30,0.0312500427432247
2014-12-31,2014,12,port_V31,0.03125003810860035
2014-12-31,2014,12,port_V32,0.03125001228452903
2015-01-31,2015,1,port_V1,0.03124994257918292
2015-01-31,2015,1,port_V2,0.031249992559277427
2015-01-31,2015,1,port_V3,0.031250000156443414
2015-01-31,2015,1,port_V4,0.03124995517383064
2015-01-31,2015,1,port_V5,0.031249982741860836
2015-01-31,2015,1,port_V6,0.031249995830638283
2015-01-31,2015,1,port_V7,0.03124999212008803
2015-01-31,2015,1,port_V8,0.031249962275903757
2015-01-31,2015,1,port_V9,0.031249991520374703
2015-01-31,2015,1,port_V10,0.03125000261036831
2015-01-31,2015,1,port_V11,0.03124999412156561
2015-01-31,2015,1,port_V12,0.031249970845736098
2015-01-31,2015,1,port_V13,0.031249969066902715
2015-01-31,2015,1,port_V14,0.03124999591241064
2015-01-31,2015,1,port_V15,0.03124998696389141
2015-01-31,2015,1,port_V16,0.03124996676342442
2015-01-31,2015,1,port_V17,0.03124997837803749
2015-01-31,2015,1,port_V18,0.03125001621387254
2015-01-31,2015,1,port_V19,0.03125002228401659
2015-01-31,2015,1,port_V20,0.0312499955011004
2015-01-31,2015,1,port_V21,0.031250009498648035
2015-01-31,2015,1,port_V22,0.03125003027848724
2015-01-31,2015,1,port_V23,0.03125001687991929
2015-01-31,2015,1,port_V24,0.03124999981759596
2015-01-31,2015,1,port_V25,0.031250029103406574
2015-01-31,2015,1,port_V26,0.031250029094379274
2015-01-31,2015,1,port_V27,0.03125003423455263
2015-01-31,2015,1,port_V28,0.03125001024247071
2015-01-31,2015,1,port_V29,0.03125003408635239
2015-01-31,2015,1,port_V30,0.031250042746975425
2015-01-31,2015,1,port_V31,0.031250038111962766
2015-01-31,2015,1,port_V32,0.03125001228632358
2015-02-28,2015,2,port_V1,0.031249942577183484
2015-02-28,2015,2,port_V2,0.031249992559311136
2015-02-28,2015,2,port_V3,0.03125000015677276
2015-02-28,2015,2,port_V4,0.031249955173053588
2015-02-28,2015,2,port_V5,0.03124998274067295
2015-02-28,2015,2,port_V6,0.031249995830578886
2015-02-28,2015,2,port_V7,0.03124999212035717
2015-02-28,2015,2,port_V8,0.031249962274755905
2015-02-28,2015,2,port_V9,0.031249991518702634
2015-02-28,2015,2,port_V10,0.03125000260979065
2015-02-28,2015,2,port_V11,0.031249994121645763
2015-02-28,2015,2,port_V12,0.031249970844987207
2015-02-28,2015,2,port_V13,0.031249969064601795
2015-02-28,2015,2,port_V14,0.031249995911381195
2015-02-28,2015,2,port_V15,0.031249986963308142
2015-02-28,2015,2,port_V16,0.031249966761121458
2015-02-28,2015,2,port_V17,0.031249978377234762
2015-02-28,2015,2,port_V18,0.03125001621442178
2015-02-28,2015,2,port_V19,0.03125002228284543
2015-02-28,2015,2,port_V20,0.031249995500645746
2015-02-28,2015,2,port_V21,0.03125000949818683
2015-02-28,2015,2,port_V22,0.031250030279223545
2015-02-28,2015,2,port_V23,0.03125001688012864
2015-02-28,2015,2,port_V24,0.03124999981869018
2015-02-28,2015,2,port_V25,0.0312500291043642
2015-02-28,2015,2,port_V26,0.031250029095618116
2015-02-28,2015,2,port_V27,0.03125003423636914
2015-02-28,2015,2,port_V28,0.0312500102436233
2015-02-28,2015,2,port_V29,0.03125003408798441
2015-02-28,2015,2,port_V30,0.0312500427500035
2015-02-28,2015,2,port_V31,0.03125003811467784
2015-02-28,2015,2,port_V32,0.031250012287757756
2015-03-31,2015,3,port_V1,0.031249942575161595
2015-03-31,2015,3,port_V2,0.031249992559326745
2015-03-31,2015,3,port_V3,0.031250000157111546
2015-03-31,2015,3,port_V4,0.031249955172259525
2015-03-31,2015,3,port_V5,0.03124998273947587
2015-03-31,2015,3,port_V6,0.031249995830526744
2015-03-31,2015,3,port_V7,0.031249992120644048
2015-03-31,2015,3,port_V8,0.031249962273579446
2015-03-31,2015,3,port_V9,0.03124999151701606
2015-03-31,2015,3,port_V10,0.03125000260923149
2015-03-31,2015,3,port_V11,0.03124999412174902
2015-03-31,2015,3,port_V12,0.031249970844241578
2015-03-31,2015,3,port_V13,0.031249969062294176
2015-03-31,2015,3,port_V14,0.031249995910370594
2015-03-31,2015,3,port_V15,0.03124998696270583
2015-03-31,2015,3,port_V16,0.0312499667588094
2015-03-31,2015,3,port_V17,0.03124997837640572
2015-03-31,2015,3,port_V18,0.03125001621496147
2015-03-31,2015,3,port_V19,0.03125002228167867
2015-03-31,2015,3,port_V20,0.031249995500149008
2015-03-31,2015,3,port_V21,0.03125000949771113
2015-03-31,2015,3,port_V22,0.0312500302799719
2015-03-31,2015,3,port_V23,0.031250016880325915
2015-03-31,2015,3,port_V24,0.031249999819793706
2015-03-31,2015,3,port_V25,0.031250029105347216
2015-03-31,2015,3,port_V26,0.03125002909687113
2015-03-31,2015,3,port_V27,0.031250034238198096
2015-03-31,2015,3,port_V28,0.031250010244791536
2015-03-31,2015,3,port_V29,0.031250034089611564
2015-03-31,2015,3,port_V30,0.03125004275306676
2015-03-31,2015,3,port_V31,0.03125003811741919
2015-03-31,2015,3,port_V32,0.03125001228919338
2015-04-30,2015,4,port_V1,0.031249942573140368
2015-04-30,2015,4,port_V2,0.031249992559346188
2015-04-30,2015,4,port_V3,0.031250000157440644
2015-04-30,2015,4,port_V4,0.03124995517146057
2015-04-30,2015,4,port_V5,0.03124998273827776
2015-04-30,2015,4,port_V6,0.031249995830476787
2015-04-30,2015,4,port_V7,0.031249992120929954
2015-04-30,2015,4,port_V8,0.03124996227240028
2015-04-30,2015,4,port_V9,0.031249991515322317
2015-04-30,2015,4,port_V10,0.03125000260865702
2015-04-30,2015,4,port_V11,0.031249994121851254
2015-04-30,2015,4,port_V12,0.031249970843490578
2015-04-30,2015,4,port_V13,0.031249969059981342
2015-04-30,2015,4,port_V14,0.03124999590935565
2015-04-30,2015,4,port_V15,0.031249986962101142
2015-04-30,2015,4,port_V16,0.03124996675649456
2015-04-30,2015,4,port_V17,0.031249978375585637
2015-04-30,2015,4,port_V18,0.0312500162155096
2015-04-30,2015,4,port_V19,0.0312500222805035
2015-04-30,2015,4,port_V20,0.031249995499647173
2015-04-30,2015,4,port_V21,0.031250009497246434
2015-04-30,2015,4,port_V22,0.031250030280724185
2015-04-30,2015,4,port_V23,0.03125001688052531
2015-04-30,2015,4,port_V24,0.031249999820900314
2015-04-30,2015,4,port_V25,0.03125002910633341
2015-04-30,2015,4,port_V26,0.03125002909813321
2015-04-30,2015,4,port_V27,0.03125003424002721
2015-04-30,2015,4,port_V28,0.03125001024596047
2015-04-30,2015,4,port_V29,0.03125003409125123
2015-04-30,2015,4,port_V30,0.031250042756132565
2015-04-30,2015,4,port_V31,0.03125003812016773
2015-04-30,2015,4,port_V32,0.03125001229062567
2015-05-31,2015,5,port_V1,0.031249942571187687
2015-05-31,2015,5,port_V2,0.031249992559351437
2015-05-31,2015,5,port_V3,0.03125000015775579
2015-05-31,2015,5,port_V4,0.031249955170625482
2015-05-31,2015,5,port_V5,0.031249982737128437
2015-05-31,2015,5,port_V6,0.031249995830400317
2015-05-31,2015,5,port_V7,0.031249992121202
2015-05-31,2015,5,port_V8,0.031249962271241296
2015-05-31,2015,5,port_V9,0.031249991513674684
2015-05-31,2015,5,port_V10,0.031250002608087905
2015-05-31,2015,5,port_V11,0.031249994121939063
2015-05-31,2015,5,port_V12,0.031249970842723875
2015-05-31,2015,5,port_V13,0.03124996905775833
2015-05-31,2015,5,port_V14,0.031249995908350845
2015-05-31,2015,5,port_V15,0.031249986961502423
2015-05-31,2015,5,port_V16,0.031249966754221477
2015-05-31,2015,5,port_V17,0.03124997837487607
2015-05-31,2015,5,port_V18,0.03125001621601253
2015-05-31,2015,5,port_V19,0.0312500222793836
2015-05-31,2015,5,port_V20,0.03124999549916489
2015-05-31,2015,5,port_V21,0.03125000949681407
2015-05-31,2015,5,port_V22,0.031250030281478595
2015-05-31,2015,5,port_V23,0.03125001688076799
2015-05-31,2015,5,port_V24,0.031249999821987645
2015-05-31,2015,5,port_V25,0.031250029107295206
2015-05-31,2015,5,port_V26,0.03125002909938957
2015-05-31,2015,5,port_V27,0.03125003424182251
2015-05-31,2015,5,port_V28,0.03125001024704401
2015-05-31,2015,5,port_V29,0.03125003409284526
2015-05-31,2015,5,port_V30,0.03125004275910355
2015-05-31,2015,5,port_V31,0.031250038122835784
2015-05-31,2015,5,port_V32,0.031250012292027736
2015-06-30,2015,6,port_V1,0.031249942569236366
2015-06-30,2015,6,port_V2,0.031249992559355944
2015-06-30,2015,6,port_V3,0.03125000015806951
2015-06-30,2015,6,port_V4,0.031249955169790473
2015-06-30,2015,6,port_V5,0.031249982735978708
2015-06-30,2015,6,port_V6,0.031249995830324076
2015-06-30,2015,6,port_V7,0.03124999212147413
2015-06-30,2015,6,port_V8,0.031249962270080846
2015-06-30,2015,6,port_V9,0.031249991512027543
2015-06-30,2015,6,port_V10,0.03125000260752018
2015-06-30,2015,6,port_V11,0.031249994122027544
2015-06-30,2015,6,port_V12,0.031249970841956597
2015-06-30,2015,6,port_V13,0.03124996905553606
2015-06-30,2015,6,port_V14,0.03124999590734424
2015-06-30,2015,6,port_V15,0.03124998696090253
2015-06-30,2015,6,port_V16,0.03124996675194801
2015-06-30,2015,6,port_V17,0.031249978374166425
2015-06-30,2015,6,port_V18,0.031250016216514985
2015-06-30,2015,6,port_V19,0.03125002227826215
2015-06-30,2015,6,port_V20,0.03124999549868284
2015-06-30,2015,6,port_V21,0.03125000949638106
2015-06-30,2015,6,port_V22,0.03125003028223398
2015-06-30,2015,6,port_V23,0.03125001688101158
2015-06-30,2015,6,port_V24,0.031249999823075157
2015-06-30,2015,6,port_V25,0.031250029108261745
2015-06-30,2015,6,port_V26,0.03125002910064752
2015-06-30,2015,6,port_V27,0.03125003424361836
2015-06-30,2015,6,port_V28,0.03125001024812723
2015-06-30,2015,6,port_V29,0.031250034094438446
2015-06-30,2015,6,port_V30,0.03125004276207526
2015-06-30,2015,6,port_V31,0.03125003812550297
2015-06-30,2015,6,port_V32,0.031250012293427595
2015-07-31,2015,7,port_V1,0.031249942567182002
